,Ratings,Reviews,Sentiment
0,5.0,I have been using BANK BAZAAR services for a while . I have applied for personal loan via bank bazaar . I got my loan on time it was very quick and smooth process from bank bazaar side and the documents has been smooth and hassle free . I never had any issue with their services .,1
1,3.0,"I have taken personal loan from CASHE , my experience is not so good with this bank . My loan amount is 5000 which is sufficient . They did not inform about processing fee and later they charge 500 . My tenure period is 1month and rate of interest is 18% .",0
2,4.0,"For the first time i have taken financial product from BANK BAZAAR , i am happy with the customer services response they are very friendly to me . I have not started using mobile application till date . I am using this website from past 1month . I came to know about bank bazaar through online .",1
3,4.0,"My personal loan was taken with HDFC BANK , the experience was good with this bank at the time of getting loan and even did not face any issues at the time of documentation . Rate of interest is 11.99% and it is nominal in the market and tenure period is",1
4,4.0,"I have taken a personal loan from the HDFC bank. It was a Pretty good experience.  I have taken 1.5 Lacs, the interest rate was in par with the market rate. The agent was not helpful, the third party agent was not helpful.",1
5,4.5,BankBazaar is a smooth platform to compare and choose various financial products. The service and their follow up was very good but they should try reducing the call flow to customers on a given day. There should be a system for requesting call back if the customer actually wants it.,1
6,2.0,"I've taken a personal loan from the Kotak Mahindra Bank. The process was smooth, there were issues with the EMI auto debit and my cheque got bounced and Credit score also got affected. They need to be more precise with the payments collection.",0
7,5.0,I've been  using the BankBazaar platform for a while. I have applied for a personal loan via BankBazaar. Th customer support follow up was good during the process. BankBazaar is a smooth platform for applying emergency financial assiatnce from various banks.,1
8,5.0,"I have taken a personal loan from the ICICI bank. It was a good Experience, the process was very fast, the interest rate, charges were there. I got the loan amount with in 5 days. It was a very good experience taking a personal loan from the ICICI bank.",1
9,3.0,"I've been using the BankBazaar platform for a while. It was good, the customer support was also good. BankBazaar is a convenient platform for applying for loan with out any hassle. The website is simple and easy to use.",0
10,4.0,"I've taken a short term loan from the CashE online. It was good, I got the loan amount 3-4 working days. There are slight charges and it was a hassle free application process. The short term loan service is useful for emergency needs.",1
11,5.0,"I've been using the BankBazaar platform for a while. It was very good, going well.  I know about BankBazaar through  Google search. The website is user friendly. The customer support follow up was equally good during the process.",1
12,5.0,"I've taken a personal loan from the IndusInd bank. It was good, the interest rate was below market rate. There were no charges. They charges 350 rupees for the application and processing. It was a hassle free experience.",1
13,4.0,"I've taken an insta loan from the HDFC for 1 lac, almost going to get over.  The interest rate was normal. There was zero documentation and the loan got credited  to the account with in not time. It was a super fast loan experience'.",1
14,5.0,"I'm really happy about the services of BankBazaar. It was totally good, the customer support was good. The personal loan application process was smooth and hassle free.",1
15,4.0,"I've taken a personal loan from the INDUDSIND bank. It was good , I got the loan with in 10days, There were no processing fee and 100 rupees charges. The interest rate is normal, they do not allow pre-closure before one year which is an inconvenience.",1
16,4.0,"My personal loan application was approved with HDFC bank and the experience was good, the loan amount was for Rs 1 lac with nominal interest rate when compared to others. Customer service was good and they followed up on time. The tenure period for this loan is 4 years.",1
17,4.0,"I am using the services of bankbazaar from last 1-2 months, the services provided by bankbazaar is good when compared to others in the market. I am a regular user of bankbazaar and the customer service was good with bankbazaar. The website of bankbazaar is easy to use and is user friendly.",1
18,5.0,"My experience was very good with HDB personal loan, the process took 10 days to complete and it was smooth. The loan amount was for Rs 10 lacs with high interest rate and the tenure period for this loan is 5 years. Customer service was very good and they responded on time.",1
19,3.0,My personal loan was taken with HDFC bank 10  years back. The loan amount was  2 lakhs  and the interest rate was pretty high . Their customer  service was good but the  processing fee was also on a higher side. I did pre clouser  and  the pre  closer charges are not too high.,0
20,5.0,"My experience was good so far with bankbazaar, they provide good services on financial products when compared to other banking websites. Customer service was good and they responded on time. I use both mobile application and website of bankbazaar.",1
21,3.0,I have taken a personal loan with Axis Bank and I wanted to close the same. I could not do it online and I was asked to visit the bank which is quite a hassle. These are all small things which can be done online. It has not been a good experience with the loan.,0
22,4.0,"The application process was too long for ICICI bank personal loan, it took 1.5 months to receive the loan amount. The loan amount was for Rs 60000 with 1 year tenure period. Customer service was good and they followed up on time. The rate of interest was nominal for this loan.",1
